00923,"Sodium, water, unfiltered, recoverable, milligrams per liter",Agree,Sodium,mg/l,Recoverable,,,,,
00924,"Magnesium, bed sediment, recoverable, dry weight, milligrams per kilogram",Agree,Magnesium,mg/kg,Bed Sediment,,,,Dry,
00925,"Magnesium, water, filtered, milligrams per liter",Agree,Magnesium,mg/l,Dissolved,,,,,
00926,"Magnesium, suspended sediment, total, milligrams per liter",Agree,Magnesium,mg/l,Suspended,,,,,
00927,"Magnesium, water, unfiltered, recoverable, milligrams per liter",Not checked,Magnesium,mg/l,Recoverable,,,,,
00929,"Sodium, water, unfiltered, recoverable, milligrams per liter",Not checked,Sodium,mg/l,Recoverable,,,,,
00930,"Sodium, water, filtered, milligrams per liter",Agree,Sodium,mg/l,Dissolved,,,,,
00931,"Sodium adsorption ratio, water, number",Agree,Sodium adsorption ratio,None,,,,,,
00932,"Sodium fraction of cations, water, percent in equivalents of major cations",Agree,"Sodium, percent total cations",%,,,,,,
00933,"Sodium plus potassium, water, filtered, milligrams per liter as sodium",Not checked,Sodium plus potassium,mg/l as Na,Dissolved,,,,,
00934,"Sodium, bed sediment, recoverable, dry weight, milligrams per kilogram",Agree,Sodium,mg/kg,Bed Sediment,,,,Dry,
00935,"Potassium, water, filtered, milligrams per liter",Agree,Potassium,mg/l,Dissolved,,,,,
00937,"Potassium, water, unfiltered, recoverable, milligrams per liter",Not checked,Potassium,mg/l,Recoverable,,,,,
00938,"Potassium, bed sediment, recoverable, dry weight, milligrams per kilogram",Agree,Potassium,mg/kg,Bed Sediment,,,,Dry,
00939,"Potassium, water, unfiltered, recoverable, milligrams per liter",Agree,Potassium,mg/l,Recoverable,,,,,
00940,"Chloride, water, filtered, milligrams per liter",Not checked,Chloride,mg/l,Dissolved,,,,,
00945,"Sulfate, water, filtered, milligrams per liter",Not agree,Sulfate,mg/l,Dissolved,,,,,
00946,"Sulfate, water, unfiltered, milligrams per liter",Not agree,Sulfate,mg/l,Total,,,,,
00950,"Fluoride, water, filtered, milligrams per liter",Agree,Fluoride,mg/l,Dissolved,,,,,
